SessionFile;PlayerID;Person;Label;CheatType;TotalShots;TotalKills;TotalDeaths;HitRate
session_2026-08-13_12-23-24.csv;DESKTOP-375SOSC-ECA1;Joni;0;;151;0;6;0.106
session_2026-08-13_12-23-24.csv;Jacins-PC-6F2FC02F43;Jacin;0;;439;5;5;0.2027
session_2026-08-13_12-23-24.csv;Krystall-8CBC35F24BD;Peter;0;;442;7;5;0.1968
session_2026-08-13_12-23-24.csv;Phileas-PC-338CF49F4;Phileas;0;;449;7;7;0.1893
session_2026-08-13_12-23-24.csv;Stacjonarny-CA89EB15;Mateusz;0;;596;9;5;0.2248
session_2026-08-13_12-26-14.csv;DESKTOP-375SOSC-ECA1;Joni;0;;162;1;7;0.0988
session_2026-08-13_12-26-14.csv;Jacins-PC-6F2FC02F43;Jacin;0;;249;1;6;0.2088
session_2026-08-13_12-26-14.csv;Krystall-8CBC35F24BD;Peter;0;;593;9;4;0.1585
session_2026-08-13_12-26-14.csv;Phileas-PC-338CF49F4;Phileas;0;;312;5;5;0.2212
session_2026-08-13_12-26-14.csv;Stacjonarny-CA89EB15;Mateusz;0;;214;7;2;0.271
session_2026-08-13_12-29-04.csv;DESKTOP-375SOSC-ECA1;Joni;0;;181;0;5;0.0829
session_2026-08-13_12-29-04.csv;Krystall-8CBC35F24BD;Peter;0;;427;9;2;0.1686
session_2026-08-13_12-29-04.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;347;2;3;0.1643
session_2026-08-13_12-29-04.csv;Phileas-PC-338CF49F4;Phileas;0;;132;2;3;0.2197
session_2026-08-13_12-29-04.csv;Stacjonarny-CA89EB15;Mateusz;0;;130;4;3;0.3154
session_2026-08-13_12-37-03.csv;DESKTOP-375SOSC-ECA1;Joni;0;;58;0;8;0.0345
session_2026-08-13_12-37-03.csv;Krystall-8CBC35F24BD;Peter;1;aimbot+wallhack+triggerbot;1435;23;0;0.1679
session_2026-08-13_12-37-03.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;118;4;8;0.2712
session_2026-08-13_12-37-03.csv;Phileas-PC-338CF49F4;Phileas;0;;206;3;11;0.1893
session_2026-08-13_12-37-03.csv;Stacjonarny-CA89EB15;Mateusz;0;;88;3;7;0.2955
session_2026-08-13_12-41-33.csv;DESKTOP-375SOSC-ECA1;Joni;1;aimbot+triggerbot;207;3;6;0.256
session_2026-08-13_12-41-33.csv;Krystall-8CBC35F24BD;Peter;0;;584;8;3;0.1729
session_2026-08-13_12-41-33.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;214;4;5;0.215
session_2026-08-13_12-41-33.csv;Phileas-PC-338CF49F4;Phileas;0;;328;5;8;0.2348
session_2026-08-13_12-41-33.csv;Stacjonarny-CA89EB15;Mateusz;0;;140;4;3;0.2571
session_2026-08-13_12-44-52.csv;DESKTOP-375SOSC-ECA1;Joni;0;;38;0;8;0.0789
session_2026-08-13_12-44-52.csv;Krystall-8CBC35F24BD;Peter;0;;565;10;3;0.2035
session_2026-08-13_12-44-52.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;326;4;5;0.181
session_2026-08-13_12-44-52.csv;Phileas-PC-338CF49F4;Phileas;0;;452;9;6;0.2279
session_2026-08-13_12-44-52.csv;Stacjonarny-CA89EB15;Mateusz;0;;146;6;7;0.3288
session_2026-08-13_12-47-42.csv;DESKTOP-375SOSC-ECA1;Joni;0;;153;1;2;0.0588
session_2026-08-13_12-47-42.csv;Krystall-8CBC35F24BD;Peter;0;;261;4;1;0.1916
session_2026-08-13_12-47-42.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;401;1;4;0.1696
session_2026-08-13_12-47-42.csv;Phileas-PC-338CF49F4;Phileas;0;;131;5;4;0.3359
session_2026-08-13_12-47-42.csv;Stacjonarny-CA89EB15;Mateusz;0;;206;4;4;0.2136
session_2026-08-13_12-51-13.csv;DESKTOP-375SOSC-ECA1;Joni;0;;110;4;6;0.1455
session_2026-08-13_12-51-13.csv;Krystall-8CBC35F24BD;Peter;0;;411;6;5;0.2214
session_2026-08-13_12-51-13.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;345;2;6;0.1942
session_2026-08-13_12-51-13.csv;Phileas-PC-338CF49F4;Phileas;0;;455;8;5;0.178
session_2026-08-13_12-51-13.csv;Stacjonarny-CA89EB15;Mateusz;0;;269;6;4;0.2528
session_2026-08-13_12-54-03.csv;DESKTOP-375SOSC-ECA1;Joni;0;;98;2;6;0.0918
session_2026-08-13_12-54-03.csv;Krystall-8CBC35F24BD;Peter;0;;428;6;3;0.1822
session_2026-08-13_12-54-03.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;413;4;4;0.1937
session_2026-08-13_12-54-03.csv;Phileas-PC-338CF49F4;Phileas;0;;345;7;4;0.2029
session_2026-08-13_12-54-03.csv;Stacjonarny-CA89EB15;Mateusz;0;;108;4;7;0.2315
session_2026-08-13_12-56-54.csv;DESKTOP-375SOSC-ECA1;Joni;0;;59;1;11;0.1525
session_2026-08-13_12-56-54.csv;Krystall-8CBC35F24BD;Peter;0;;236;2;5;0.2288
session_2026-08-13_12-56-54.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;492;12;4;0.1992
session_2026-08-13_12-56-54.csv;Phileas-PC-338CF49F4;Phileas;0;;723;11;3;0.1604
session_2026-08-13_12-56-54.csv;Stacjonarny-CA89EB15;Mateusz;0;;49;2;6;0.4082
session_2026-08-13_12-59-44.csv;DESKTOP-375SOSC-ECA1;Joni;0;;82;4;7;0.2805
session_2026-08-13_12-59-44.csv;Krystall-8CBC35F24BD;Peter;0;;377;7;5;0.183
session_2026-08-13_12-59-44.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;225;3;7;0.1778
session_2026-08-13_12-59-44.csv;Phileas-PC-338CF49F4;Phileas;0;;145;2;5;0.2207
session_2026-08-13_12-59-44.csv;Stacjonarny-CA89EB15;Mateusz;0;;601;12;4;0.2196
session_2026-08-13_13-02-34.csv;DESKTOP-375SOSC-ECA1;Joni;0;;28;0;7;0.1071
session_2026-08-13_13-02-34.csv;Krystall-8CBC35F24BD;Peter;0;;396;4;4;0.1869
session_2026-08-13_13-02-34.csv;LAPTOP-IN41KCMK-5468;Clemi;0;;257;7;6;0.2296
session_2026-08-13_13-02-34.csv;Phileas-PC-338CF49F4;Phileas;0;;523;10;5;0.1969
session_2026-08-13_13-02-34.csv;Stacjonarny-CA89EB15;Mateusz;0;;211;4;4;0.2322
session_2026-08-13_19-43-23.csv;MBurgerPC-C08954A945;Maxi;0;;371;3;5;0.1941
session_2026-08-13_19-43-23.csv;Phileas-PC-167800BF4;Phileas;0;;285;3;4;0.1895
session_2026-08-13_19-43-23.csv;RF-MS1-1-EF024FED46C;Nikolay;0;;364;8;5;0.1868
session_2026-08-13_19-43-23.csv;Stacjonarny-CA89EB15;Mateusz;0;;214;4;6;0.2103
session_2026-08-13_19-46-13.csv;MBurgerPC-C08954A945;Maxi;1;aimbot;146;2;6;0.1575
session_2026-08-13_19-46-13.csv;Phileas-PC-167800BF4;Phileas;0;;300;6;4;0.2133
session_2026-08-13_19-46-13.csv;RF-MS1-1-EF024FED46C;Nikolay;0;;321;1;6;0.1277
session_2026-08-13_19-46-13.csv;Stacjonarny-CA89EB15;Mateusz;0;;266;8;3;0.2744
session_2026-08-13_19-49-20.csv;MBurgerPC-C08954A945;Maxi;0;;240;3;13;0.1667
session_2026-08-13_19-49-20.csv;Phileas-PC-167800BF4;Phileas;0;;110;2;8;0.2273
session_2026-08-13_19-49-20.csv;RF-MS1-1-EF024FED46C;Nikolay;0;;52;1;13;0.1346
session_2026-08-13_19-49-20.csv;Stacjonarny-CA89EB15;Mateusz;1;aimbot+wallhack+triggerbot+godmode;2769;28;0;0.0668
session_2026-08-13_19-52-40.csv;MBurgerPC-C08954A945;Maxi;0;;497;11;4;0.2133
session_2026-08-13_19-52-40.csv;Phileas-PC-167800BF4;Phileas;0;;497;5;7;0.1509
session_2026-08-13_19-52-40.csv;RF-MS1-1-EF024FED46C;Nikolay;0;;165;0;4;0.1818
session_2026-08-13_19-52-40.csv;Stacjonarny-CA89EB15;Mateusz;0;;357;5;7;0.1569
session_2026-08-13_19-55-30.csv;MBurgerPC-C08954A945;Maxi;0;;368;0;6;0.106
session_2026-08-13_19-55-30.csv;Phileas-PC-167800BF4;Phileas;0;;194;2;7;0.0619
