PlayerID,SessionDurationSeconds,AimAngularSpeedMean,AimAngularSpeedStdDev,AimAngularErrorMean,AimAngularErrorStdDev,AimErrorSampleCount,AimFlipRatio,MovementSpeedMean,MovementSpeedMax,DirectionChangesPerSecond,SpeedViolationRatio,MovementPathEntropy,ReactionTimeMean,ReactionTimeStdDev,ShotIntervalMean,ShotIntervalStdDev,ShotsPerSecond,HitRate,HeadshotRate,KillsPerMinute,KillDeathRatio,TotalShots,TotalHits,TotalKills,TotalDeaths,Label
casual_1501,289.3585,136.7782,50.9690,2.0000,14.4491,14,0.0060,348.3284,560.1477,0.1199,0.0039,2.3223,0.6326,0.1716,0.4776,0.4812,0.5232,0.2806,0.0000,0.5222,1.7118,83,23,5,13,0
casual_2586,120.2770,35.4369,120.2108,29.5670,11.0563,14,0.0090,325.1009,445.0618,0.1652,0.0020,3.4113,0.4591,0.1214,0.6616,0.1654,0.9647,0.0327,0.0000,0.9405,1.1949,76,2,4,14,0
casual_2653,231.0365,50.2490,129.9829,2.3702,8.9958,27,0.0281,342.2137,531.9434,0.2186,0.0049,2.8188,0.5658,0.2299,0.4604,0.1640,0.6705,0.0906,0.0000,1.0875,0.5455,108,9,3,3,0
casual_1055,212.1789,111.8820,66.8517,24.5160,9.7633,18,0.0000,370.9119,564.4225,0.4414,0.0032,1.7904,0.5265,0.1165,0.7281,0.1917,0.6181,0.0640,0.0000,0.8380,0.5163,83,5,4,16,0
casual_0705,181.6021,78.3068,137.4001,7.9906,1.0000,30,0.0392,361.3910,483.6303,0.2686,0.0096,2.2860,0.6121,0.0612,1.0228,0.1260,1.0921,0.3922,0.0000,0.4179,0.1018,131,51,1,12,0
casual_0106,151.3276,67.4800,137.8712,12.9209,13.5394,41,0.0166,396.1544,580.0498,0.4528,0.0157,2.3150,0.5283,0.1647,0.7072,0.1122,0.8662,0.3250,0.0000,0.0000,0.9994,136,44,8,1,0
casual_0589,36.7022,59.0706,153.5951,22.1684,5.3251,34,0.0076,327.0654,546.3910,0.2784,0.0097,2.8714,0.2000,0.0787,0.9557,0.3135,0.1000,0.2061,0.0000,0.6069,1.1813,136,28,3,5,0
casual_2468,189.6679,95.6023,157.9548,27.7058,11.6411,15,0.0284,521.0505,615.2666,0.0200,0.0013,3.1187,0.5484,0.1580,0.7869,0.2843,1.7105,0.3109,0.0000,1.0130,0.4650,72,22,5,16,0
casual_2413,175.1081,28.4743,20.0000,9.8677,5.3476,8,0.0048,348.9451,500.0446,0.0483,0.0048,2.7454,0.4303,0.1443,0.7734,0.2174,1.3451,0.3145,0.0000,1.6534,0.2902,54,16,9,11,0
casual_1600,276.5870,17.5387,177.6184,2.0000,27.7583,19,0.0221,239.2801,485.5060,0.4201,0.0054,2.3789,0.3331,0.0737,0.3647,0.3033,1.1002,0.1743,0.0000,1.6945,0.9904,154,26,1,14,0
